"property","title","description"
"","Queue","Managed JMS Queue"
"dcmQueueName","Queue Name","JMS Queue Name"
"dcmJndiName","JNDI Name","JNDI Name"
"dicomDescription","DICOM Description","Textual description of the DICOM entity"
"dcmMaxRetries","Maximum Number of Retries","Maximal number of retries to process tasks scheduled in a specific queue."
"dcmRetryDelay","Retry Delay","Delay to retry to process tasks scheduled in a specific queue in ISO-8601 duration format PnDTnHnMn.nS."
"dcmMaxRetryDelay","Maximum Retry Delay","Maximal Delay to retry to process tasks scheduled in a specific queue in ISO-8601 duration format PnDTnHnMn.nS. Infinite if absent."
"dcmRetryDelayMultiplier","Retry Delay Multiplier","Multiplier in % that will take effect on top of dcmRetryDelay with dcmMaxRetryDelay to be taken into account."
"dcmRetryOnWarning","Retry on Warning","Enables retries to process tasks not only on failure but also on a warning outcome status in a specific queue."
"dcmRetryInProcessOnStartup","Retry IN PROCESS on Startup","Indicates to retry tasks left in status IN PROCESS on system start-up."
"dcmPurgeQueueMessageCompletedDelay","Delay for purging completed queue messages","Delay in ISO-8601 duration format PnDTnHnMn.nS after which completed queue messages are purged. If absent, there is no deletion for that particular queue"
"dcmPurgeQueueMessageFailedDelay","Delay for purging failed queue messages","Delay in ISO-8601 duration format PnDTnHnMn.nS after which failed queue messages are purged. If absent, there is no deletion for that particular queue"
"dcmPurgeQueueMessageWarningDelay","Delay for purging warning queue messages","Delay in ISO-8601 duration format PnDTnHnMn.nS after which warning queue messages are purged. If absent, there is no deletion for that particular queue"
"dcmPurgeQueueMessageCanceledDelay","Delay for purging canceled queue messages","Delay in ISO-8601 duration format PnDTnHnMn.nS after which canceled queue messages are purged. If absent, there is no deletion for that particular queue"
"dcmMaxQueueSize","Maximum Queue Size","Maximal number of scheduled tasks in the queue. If the number of scheduled tasks reaches the limit, an attempt to schedule another tasks will fail. 0 = no limitation."
"dcmSchedule","Restrict Scheduling","Restrict Scheduling to specified time ranges. Use Maximum Queue Size to control maximal number of Tasks processed between specified time ranges. Only effective for scheduling 'TO SCHEDULE' Retrieve Tasks."
